City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain (inches),Snow (inches)
0,Antalaha,MG,-14.9,50.28,68.59,85,10,8.32,clear sky,0.0,0
1,Hilo,US,19.73,-155.09,82.4,58,90,8.05,overcast clouds,0.0,0
2,Ribeira Grande,PT,38.52,-28.7,60.93,67,59,15.59,broken clouds,0.0,0
3,Cherskiy,RU,68.75,161.3,55.49,40,94,14.99,overcast clouds,0.0,0
4,Mataura,NZ,-46.19,168.86,49.15,82,87,1.68,overcast clouds,0.0,0
5,East London,ZA,-33.02,27.91,67.06,27,0,7.27,clear sky,0.0,0
6,Port Alfred,ZA,-33.59,26.89,66.99,33,4,8.99,clear sky,0.0,0
7,Alice Springs,AU,-23.7,133.88,57.2,41,0,3.36,clear sky,0.0,0
8,Kapaa,US,22.08,-159.32,82.4,69,1,11.41,clear sky,0.0,0
9,Odweyne,SO,9.41,45.06,73.92,63,1,14.54,clear sky,0.0,0
10,Seddon,AU,-37.81,144.89,57.99,87,75,8.05,broken clouds,0.0,0
11,Nieuwpoort,BE,51.12,2.77,62.6,82,100,4.7,overcast clouds,0.0,0
12,Brainerd,US,46.36,-94.2,64.4,59,20,4.7,few clouds,0.0,0
13,Thompson,CA,55.74,-97.86,80.6,30,20,5.82,few clouds,0.0,0
14,Hobart,AU,-42.88,147.33,55.0,93,90,6.93,overcast clouds,0.0,0
15,Melfi,IT,41.0,15.65,68.0,72,5,12.75,clear sky,0.0,0
16,Urumqi,CN,43.8,87.6,77.0,25,100,2.24,overcast clouds,0.0,0
17,Yellowknife,CA,62.46,-114.35,70.0,42,40,11.41,scattered clouds,0.0,0
18,Victoria,HK,22.29,114.16,90.0,66,99,15.01,overcast clouds,0.0,0
19,Trairi,BR,-3.28,-39.27,78.01,78,98,7.54,light rain,0.11,0
20,Qaanaaq,GL,77.48,-69.36,36.84,78,0,4.21,clear sky,0.0,0
21,Alofi,NU,-19.06,-169.92,80.6,74,40,3.36,scattered clouds,0.0,0
22,Bredasdorp,ZA,-34.53,20.04,41.0,93,0,1.95,clear sky,0.0,0
23,Rikitea,PF,-23.12,-134.97,69.96,55,100,9.95,overcast clouds,0.0,0
24,Chokurdakh,RU,70.63,147.92,75.07,26,65,7.52,broken clouds,0.0,0
25,Richards Bay,ZA,-28.78,32.04,59.11,71,0,7.05,clear sky,0.0,0
26,Evensk,RU,61.95,159.23,56.61,59,0,9.6,clear sky,0.0,0
27,Atbasar,KZ,51.8,68.33,56.46,66,0,5.23,clear sky,0.0,0
28,Buala,SB,-8.14,159.59,86.09,61,12,6.69,few clouds,0.0,0
29,Atuona,PF,-9.8,-139.03,80.11,75,20,14.36,few clouds,0.0,0
30,Pouembout,NC,-21.13,164.9,75.97,66,48,9.04,scattered clouds,0.0,0
31,Punta Arenas,CL,-53.15,-70.92,32.0,82,0,6.93,clear sky,0.0,0
32,Xining,CN,36.62,101.77,65.37,40,0,2.51,clear sky,0.0,0
33,Jamestown,US,42.1,-79.24,63.0,87,90,13.87,overcast clouds,0.0,0
34,Bluff,NZ,-46.6,168.33,49.03,85,91,12.95,overcast clouds,0.0,0
35,Kodiak,US,57.79,-152.41,51.8,81,90,11.41,light rain,0.0,0
36,Puerto Ayora,EC,-0.74,-90.35,70.0,92,33,8.52,scattered clouds,0.0,0
37,Uglovskoye,RU,51.36,80.19,71.24,48,98,6.58,overcast clouds,0.0,0
38,Kirakira,SB,-10.45,161.92,84.2,69,100,3.91,light rain,0.32,0
39,Olafsvik,IS,64.89,-23.71,49.05,81,100,12.97,light rain,0.21,0
40,Lucapa,AO,-8.42,20.74,60.33,44,0,3.87,clear sky,0.0,0
41,Garowe,SO,8.41,48.48,79.75,60,33,24.0,scattered clouds,0.0,0
42,Rio Claro,BR,-22.41,-47.56,51.8,93,100,2.24,overcast clouds,0.0,0
43,Ushuaia,AR,-54.8,-68.3,33.8,86,90,18.34,light snow,0.0,0
44,Bairiki,KI,1.33,172.98,86.0,74,7,6.93,clear sky,0.0,0
45,Hermanus,ZA,-34.42,19.23,54.0,83,0,1.01,clear sky,0.0,0
46,Tiksi,RU,71.69,128.87,60.21,54,44,6.29,scattered clouds,0.0,0
47,Bakchar,RU,57.02,82.07,65.03,73,2,3.36,clear sky,0.0,0
48,Monroe,US,43.15,-77.68,69.8,88,75,8.05,light rain,0.51,0
49,Bengkulu,ID,-3.8,102.27,77.92,86,100,1.66,light rain,0.24,0
50,Ancud,CL,-41.87,-73.82,39.99,100,40,4.7,scattered clouds,0.0,0
51,Busselton,AU,-33.65,115.33,55.99,90,98,11.27,overcast clouds,0.0,0
52,Lucea,JM,18.45,-78.17,86.0,79,20,4.7,dust,0.0,0
53,Katsuura,JP,35.13,140.3,73.99,84,73,1.01,broken clouds,0.0,0
54,Isangel,VU,-19.55,169.27,80.6,83,75,9.17,broken clouds,0.0,0
55,Tasiilaq,GL,65.61,-37.64,42.8,81,100,1.81,light rain,0.12,0
56,Clyde River,CA,70.47,-68.59,39.2,93,90,5.82,overcast clouds,0.0,0
57,Hvolsvollur,IS,63.75,-20.22,48.0,96,100,3.0,overcast clouds,0.0,0
58,New Norfolk,AU,-42.78,147.06,55.0,88,100,1.99,light rain,0.15,0
59,Mar Del Plata,AR,-38.0,-57.56,52.0,100,100,2.24,mist,0.0,0
60,Hobyo,SO,5.35,48.53,78.8,78,0,22.73,clear sky,0.0,0
61,Sumbawanga,TZ,-7.97,31.62,55.4,93,5,10.29,clear sky,0.0,0
62,Severo-Kurilsk,RU,50.68,156.12,50.11,79,100,8.84,overcast clouds,0.0,0
63,Aktash,RU,50.3,87.73,56.98,54,100,1.34,overcast clouds,0.0,0
64,Yelizovo,RU,53.19,158.38,77.0,38,40,11.18,thunderstorm,0.0,0
65,Noumea,NC,-22.28,166.46,73.99,83,90,11.41,overcast clouds,0.0,0
66,Hounde,BF,11.5,-3.52,79.9,66,31,9.53,scattered clouds,0.0,0
67,Port Elizabeth,ZA,-33.92,25.57,48.2,66,0,4.7,clear sky,0.0,0
68,Yarada,IN,17.65,83.27,84.2,89,40,5.82,light rain,0.0,0
69,Avarua,CK,-21.21,-159.78,78.8,74,78,5.82,broken clouds,0.0,0
70,Zasosna,RU,50.63,38.4,56.66,94,27,13.94,scattered clouds,0.0,0
71,Mikhaylovskoye,RU,51.82,79.72,72.37,50,15,7.31,few clouds,0.0,0
72,Saldanha,ZA,-33.01,17.94,42.8,87,0,1.12,clear sky,0.0,0
73,Naryan-Mar,RU,67.67,53.09,41.94,88,100,9.19,overcast clouds,0.0,0
74,Lasa,IT,46.62,10.7,59.0,100,4,2.24,clear sky,0.0,0
75,Orotukan,RU,62.27,151.7,76.98,39,0,8.39,clear sky,0.0,0
76,Diffa,NE,13.32,12.61,84.72,24,0,6.13,clear sky,0.0,0
77,Hithadhoo,MV,-0.6,73.08,84.18,75,38,10.18,scattered clouds,0.0,0
78,Nikolskoye,RU,59.7,30.79,60.8,77,1,6.71,clear sky,0.0,0
79,Chitral,PK,35.85,71.79,75.07,36,30,2.06,light rain,0.15,0
80,Urdoma,RU,61.75,48.54,43.41,62,100,8.48,overcast clouds,0.0,0
81,Nuuk,GL,64.18,-51.72,42.8,60,100,5.82,overcast clouds,0.0,0
82,Tura,IN,25.52,90.22,80.17,88,26,5.37,light rain,0.36,0
83,Nelson Bay,AU,-32.72,152.15,61.0,54,20,23.04,few clouds,0.0,0
84,Vyshkov,RU,52.48,31.69,60.8,93,1,6.71,clear sky,0.0,0
85,Axim,GH,4.87,-2.24,76.86,87,99,6.71,light rain,0.93,0
86,Westport,US,41.14,-73.36,73.4,83,1,4.7,clear sky,0.0,0
87,Gornopravdinsk,RU,60.05,69.9,52.45,90,80,5.35,broken clouds,0.0,0
88,Lagoa,PT,39.05,-27.98,61.21,63,0,12.75,clear sky,0.0,0
89,Vernon,CA,50.26,-119.27,73.0,69,100,4.0,light rain,0.11,0
90,Georgiyevskoye,RU,58.73,45.02,46.06,87,0,6.73,clear sky,0.0,0
91,Albany,US,42.6,-73.97,81.0,77,66,1.01,light rain,0.52,0
92,Airai,TL,-8.93,125.41,68.45,75,35,4.29,scattered clouds,0.0,0
93,Salaspils,LV,56.86,24.37,57.2,100,87,1.12,fog,0.0,0
94,Araceli,PH,10.55,119.99,85.68,67,74,7.72,broken clouds,0.0,0
95,Rockland,US,41.17,-74.05,77.0,83,89,4.52,moderate rain,1.19,0
96,Vigrestad,NO,58.57,5.7,57.2,93,0,4.7,clear sky,0.0,0
97,Zhigansk,RU,66.77,123.37,73.33,44,34,3.71,scattered clouds,0.0,0
98,Haines Junction,CA,60.75,-137.51,55.44,43,0,10.92,clear sky,0.0,0
99,Tuktoyaktuk,CA,69.45,-133.04,37.4,86,90,14.99,overcast clouds,0.0,0
100,Nhamunda,BR,-2.19,-56.71,75.15,84,0,1.61,clear sky,0.0,0
101,Waipawa,NZ,-41.41,175.52,57.99,59,89,1.99,overcast clouds,0.0,0
102,Saskylakh,RU,71.92,114.08,84.74,25,0,14.45,clear sky,0.0,0
103,Puerto Madero,MX,14.72,-92.42,73.4,100,40,3.36,scattered clouds,0.0,0
104,Parauna,BR,-16.95,-50.45,64.33,50,1,2.42,clear sky,0.0,0
105,Esperance,AU,-33.87,121.9,53.6,81,29,18.34,scattered clouds,0.0,0
106,Tigil,RU,57.8,158.67,69.44,45,0,8.25,clear sky,0.0,0
107,Georgetown,MY,5.41,100.34,86.0,88,20,2.24,few clouds,0.0,0
108,Les Cayes,HT,18.2,-73.75,79.09,88,19,3.69,few clouds,0.0,0
109,Hrodna,BY,53.69,23.83,58.42,94,99,7.49,overcast clouds,0.0,0
110,Barrow,US,71.29,-156.79,37.4,74,90,6.93,overcast clouds,0.0,0
111,Kaitangata,NZ,-46.28,169.85,46.99,83,98,1.01,overcast clouds,0.0,0
112,Coos Bay,US,43.37,-124.22,79.0,82,40,11.41,scattered clouds,0.0,0
113,Husavik,IS,66.04,-17.34,44.6,93,100,9.17,overcast clouds,0.0,0
