City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,2020-06-20 18:44:58,-45.42,167.72,33.21,93,39,1.5
1,Sambava,MG,2020-06-20 18:47:11,-14.27,50.17,74.71,90,96,13.44
2,Ushuaia,AR,2020-06-20 18:47:12,-54.8,-68.3,33.8,86,40,4.7
3,Sassandra,CI,2020-06-20 18:47:12,4.95,-6.08,77.58,82,95,6.04
4,Acapulco,MX,2020-06-20 18:47:12,16.86,-99.89,87.8,70,90,2.24
5,Ribeira Grande,PT,2020-06-20 18:47:12,38.52,-28.7,69.8,83,40,16.11
6,Arraial Do Cabo,BR,2020-06-20 18:47:12,-22.97,-42.03,80.6,69,0,10.29
7,Ignacio Zaragoza,MX,2020-06-20 18:47:13,28.38,-107.22,82.0,30,86,5.99
8,Bilibino,RU,2020-06-20 18:47:13,68.05,166.44,73.45,37,100,2.51
9,Tuktoyaktuk,CA,2020-06-20 18:44:29,69.45,-133.04,42.8,93,90,9.17
10,Okhotsk,RU,2020-06-20 18:47:13,59.38,143.3,46.89,89,100,2.91
11,Atuona,PF,2020-06-20 18:47:14,-9.8,-139.03,79.66,78,8,16.44
12,Kapaa,US,2020-06-20 18:47:14,22.08,-159.32,77.0,83,20,16.11
13,Peace River,CA,2020-06-20 18:47:14,56.25,-117.29,75.2,47,20,12.75
14,Gigmoto,PH,2020-06-20 18:47:14,13.78,124.39,80.71,78,37,2.06
15,Palmas,BR,2020-06-20 18:47:14,-10.21,-48.36,90.0,38,20,8.05
16,Kahului,US,2020-06-20 18:43:49,20.89,-156.47,80.6,61,40,20.8
17,Dunedin,NZ,2020-06-20 18:46:24,-45.87,170.5,43.0,94,100,5.32
18,Bathsheba,BB,2020-06-20 18:47:15,13.22,-59.52,86.0,74,20,20.8
19,Midyat,TR,2020-06-20 18:47:15,37.42,41.34,77.0,44,40,13.87
20,Sioux Lookout,CA,2020-06-20 18:45:01,50.1,-91.92,69.8,40,75,8.05
21,Vung Tau,VN,2020-06-20 18:47:16,10.35,107.08,81.5,81,100,7.38
22,Rikitea,PF,2020-06-20 18:47:16,-23.12,-134.97,75.9,84,95,12.86
23,Narsaq,GL,2020-06-20 18:47:16,60.92,-46.05,53.6,34,75,5.82
24,Yellowknife,CA,2020-06-20 18:47:16,62.46,-114.35,75.99,39,20,20.8
25,Balkhash,KZ,2020-06-20 18:47:17,46.84,74.98,61.38,43,0,11.79
26,Chake Chake,TZ,2020-06-20 18:47:17,-5.25,39.77,76.62,73,99,13.24
27,Anadyr,RU,2020-06-20 18:47:17,64.75,177.48,57.2,58,0,2.24
28,Bethel,US,2020-06-20 18:44:45,41.37,-73.41,87.01,51,20,8.05
29,Chuy,UY,2020-06-20 18:47:18,-33.7,-53.46,59.95,79,43,6.42
30,Punta Arenas,CL,2020-06-20 18:47:18,-53.15,-70.92,37.4,82,75,12.75
31,Constitucion,CL,2020-06-20 18:47:18,-35.33,-72.42,55.62,86,100,21.61
32,Roseland,US,2020-06-20 18:44:55,38.42,-122.73,66.99,68,40,5.82
33,Carman,CA,2020-06-20 18:42:47,49.5,-98.0,69.01,82,20,12.75
34,Ambilobe,MG,2020-06-20 18:47:19,-13.2,49.05,71.78,89,100,3.53
35,Thunder Bay,CA,2020-06-20 18:45:32,48.4,-89.32,73.99,49,90,3.36
36,Sterling,US,2020-06-20 18:42:44,39.01,-77.43,79.0,65,75,10.29
37,Krasnik,PL,2020-06-20 18:47:19,50.92,22.23,71.01,93,40,4.7
38,Catalao,BR,2020-06-20 18:47:20,-18.17,-47.95,78.06,51,72,8.01
39,Severo-Kurilsk,RU,2020-06-20 18:47:20,50.68,156.12,41.97,92,100,16.67
40,Castro,BR,2020-06-20 18:47:20,-24.79,-50.01,70.74,63,0,6.11
41,Igarka,RU,2020-06-20 18:47:21,67.47,86.58,45.03,78,44,11.56
42,Kirkwall,GB,2020-06-20 18:47:21,58.98,-2.96,57.2,87,0,12.75
43,Aquiraz,BR,2020-06-20 18:47:21,-3.9,-38.39,86.0,66,40,17.22
44,Bredasdorp,ZA,2020-06-20 18:43:53,-34.53,20.04,59.0,87,92,5.06
45,Chokurdakh,RU,2020-06-20 18:47:22,70.63,147.92,79.48,29,0,10.49
46,Honningsvag,NO,2020-06-20 18:47:22,70.98,25.97,44.55,81,0,5.91
47,Vardo,NO,2020-06-20 18:44:23,70.37,31.11,43.88,82,5,4.23
48,Busselton,AU,2020-06-20 18:43:28,-33.65,115.33,41.0,69,0,6.67
49,Iqaluit,CA,2020-06-20 18:46:30,63.75,-68.51,41.0,80,75,4.7
50,College,US,2020-06-20 18:47:23,64.86,-147.8,63.0,63,75,9.17
51,Asfi,MA,2020-06-20 18:47:23,32.3,-9.24,71.92,70,0,20.29
52,Avarua,CK,2020-06-20 18:47:23,-21.21,-159.78,71.6,68,100,6.93
53,Kiama,AU,2020-06-20 18:47:23,-34.68,150.87,55.99,87,100,1.01
54,Isangel,VU,2020-06-20 18:47:23,-19.55,169.27,70.57,82,89,13.65
55,Ust-Tsilma,RU,2020-06-20 18:47:24,65.44,52.15,40.55,90,100,16.33
56,Port Lincoln,AU,2020-06-20 18:44:24,-34.73,135.87,55.31,72,75,20.67
57,Meulaboh,ID,2020-06-20 18:47:24,4.14,96.13,76.8,87,100,6.22
58,Beringovskiy,RU,2020-06-20 18:47:24,63.05,179.32,46.33,56,2,4.97
59,Casma,CL,2020-06-20 18:47:24,-41.01,-73.12,50.0,93,100,5.82
60,Timmins,CA,2020-06-20 18:47:06,48.47,-81.33,84.2,45,75,10.29
61,Fortuna,US,2020-06-20 18:47:25,40.6,-124.16,68.0,72,20,8.05
62,Hermanus,ZA,2020-06-20 18:47:25,-34.42,19.23,60.01,86,96,4.0
63,New Norfolk,AU,2020-06-20 18:47:25,-42.78,147.06,45.0,92,98,2.44
64,Vaini,TO,2020-06-20 18:47:25,-21.2,-175.2,73.4,88,40,6.93
65,Hobart,AU,2020-06-20 18:45:06,-42.88,147.33,46.4,93,90,4.7
66,Tuatapere,NZ,2020-06-20 18:47:26,-46.13,167.68,39.0,83,57,3.0
67,Sangar,RU,2020-06-20 18:47:26,63.92,127.47,61.66,62,86,1.83
68,Mahebourg,MU,2020-06-20 18:47:26,-20.41,57.7,73.4,60,20,13.87
69,Doha,QA,2020-06-20 18:42:45,25.29,51.53,93.2,55,0,3.36
70,Merauke,ID,2020-06-20 18:47:27,-8.47,140.33,76.86,84,0,14.41
